created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2022-09-14T22:44:17+05:30,1,0.00000,0.00000,,,,
2022-09-14T22:44:50+05:30,2,0.00000,0.00000,,,,
2022-09-14T22:45:22+05:30,3,0.00000,0.00000,,,,
2022-09-14T22:45:53+05:30,4,0.00000,0.00000,,,,
2022-09-14T22:46:25+05:30,5,0.00000,0.00000,,,,
2022-09-14T22:46:57+05:30,6,0.00000,0.00000,,,,
2022-09-14T22:47:29+05:30,7,0.00000,0.00000,,,,
2022-09-14T22:48:02+05:30,8,0.00000,0.00000,,,,
2022-09-14T22:48:35+05:30,9,0.00000,0.00000,,,,
2022-09-14T22:49:07+05:30,10,0.00000,0.00000,,,,
2022-09-14T22:49:39+05:30,11,0.00000,0.00000,,,,
2022-09-14T22:50:12+05:30,12,0.00000,0.00000,,,,
2022-09-14T22:50:44+05:30,13,0.00000,0.00000,,,,
2022-09-14T22:51:16+05:30,14,0.00000,0.00000,,,,
2022-09-14T22:51:47+05:30,15,0.00000,0.00000,,,,
2022-09-14T22:52:19+05:30,16,0.00000,0.00000,,,,
2022-09-14T22:52:51+05:30,17,0.00000,0.00000,,,,
2022-09-14T22:53:23+05:30,18,0.00000,0.00000,,,,
2022-09-14T22:53:55+05:30,19,0.00000,0.00000,,,,
2022-09-14T22:54:27+05:30,20,0.00000,0.00000,,,,
2022-09-14T22:54:59+05:30,21,0.00000,0.00000,,,,
2022-09-14T22:55:31+05:30,22,0.00000,0.00000,,,,
2022-09-14T22:56:05+05:30,23,0.00000,0.00000,,,,
2022-09-14T22:56:37+05:30,24,0.00000,0.00000,,,,
2022-09-14T22:57:09+05:30,25,0.00000,0.00000,,,,
2022-09-14T22:57:41+05:30,26,0.00000,0.00000,,,,
2022-09-14T22:58:13+05:30,27,0.00000,0.00000,,,,
2022-09-14T22:58:45+05:30,28,0.00000,0.00000,,,,
2022-09-14T22:59:17+05:30,29,0.00000,0.00000,,,,
2022-09-14T22:59:49+05:30,30,0.00000,0.00000,,,,
2022-09-14T23:00:20+05:30,31,0.00000,0.00000,,,,
2022-09-14T23:00:53+05:30,32,0.00000,0.00000,,,,
2022-09-14T23:01:25+05:30,33,0.00000,0.00000,,,,
2022-09-14T23:01:58+05:30,34,0.00000,0.00000,,,,
2022-09-14T23:02:30+05:30,35,0.00000,0.00000,,,,
2022-09-14T23:03:02+05:30,36,0.00000,0.00000,,,,
2022-09-14T23:03:33+05:30,37,0.00000,0.00000,,,,
2022-09-14T23:04:05+05:30,38,0.00000,0.00000,,,,
2022-09-14T23:04:38+05:30,39,0.00000,0.00000,,,,
2022-09-14T23:05:10+05:30,40,0.00000,0.00000,,,,
2022-09-14T23:05:42+05:30,41,0.00000,0.00000,,,,
2022-09-14T23:06:13+05:30,42,0.00000,0.00000,,,,
2022-09-14T23:06:45+05:30,43,0.00000,0.00000,,,,
2022-09-14T23:07:17+05:30,44,0.00000,0.00000,,,,
2022-09-14T23:07:49+05:30,45,0.00000,0.00000,,,,
2022-09-14T23:08:21+05:30,46,0.00000,0.00000,,,,
2022-09-14T23:08:53+05:30,47,0.00000,0.00000,,,,
2022-09-14T23:09:25+05:30,48,0.00000,0.00000,,,,
2022-09-14T23:09:57+05:30,49,0.00000,0.00000,,,,
2022-09-14T23:10:29+05:30,50,0.00000,0.00000,,,,
2022-09-14T23:11:01+05:30,51,0.00000,0.00000,,,,
2022-09-14T23:11:33+05:30,52,0.00000,0.00000,,,,
2022-09-14T23:12:06+05:30,53,0.00000,0.00000,,,,
2022-09-14T23:12:38+05:30,54,0.00000,0.00000,,,,
2022-09-14T23:13:10+05:30,55,0.00000,0.00000,,,,
2022-09-14T23:13:42+05:30,56,0.00000,0.00000,,,,
2022-09-14T23:14:14+05:30,57,0.00000,0.00000,,,,
2022-09-14T23:14:46+05:30,58,0.00000,0.00000,,,,
2022-09-14T23:15:18+05:30,59,0.00000,0.00000,,,,
2022-09-14T23:15:50+05:30,60,0.00000,0.00000,,,,
2022-09-14T23:16:22+05:30,61,0.00000,0.00000,,,,
2022-09-14T23:16:55+05:30,62,0.00000,0.00000,,,,
2022-09-14T23:17:26+05:30,63,0.00000,0.00000,,,,
2022-09-14T23:17:59+05:30,64,0.00000,0.00000,,,,
2022-09-14T23:18:31+05:30,65,0.00000,0.00000,,,,
2022-09-14T23:19:03+05:30,66,0.00000,0.00000,,,,
2022-09-14T23:19:35+05:30,67,0.00000,0.00000,,,,
2022-09-14T23:20:07+05:30,68,0.00000,0.00000,,,,
2022-09-14T23:20:39+05:30,69,0.00000,0.00000,,,,
